Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Population, total",SP.POP.TOTL,Turkey,TUR,53994605,63240157,68704721,69515492,70344357,71261307,72310416,73199372,74099255,75010202,75932348,..
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3668000,4501419,4801594,4858235,4917541,4978960,5041995,5106672,5172941,5240088,5307188,..
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,11550,18876,27642,28638,29481,30247,30993,31727,32430,33103,33740,..
"Population, total",SP.POP.TOTL,Tuvalu,TUV,9004,9419,9732,9764,9788,9808,9827,9844,9860,9876,9893,..
"Population, total",SP.POP.TOTL,Uganda,UGA,17384369,23757636,29000925,29991958,31014427,32067125,33149417,34260342,35400620,36573387,37782971,..
"Population, total",SP.POP.TOTL,Ukraine,UKR,51892000,49175848,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600,45362900,..
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1811458,3050128,5171255,6010100,6900142,7705423,8329453,8734722,8952542,9039978,9086139,..
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64559135,..
"Population, total",SP.POP.TOTL,United States,USA,249623000,282162411,298379912,301231207,304093966,306771529,309347057,311721632,314112078,316497531,318857056,..
"Population, total",SP.POP.TOTL,Uruguay,URY,3109987,3321242,3331041,3339750,3350832,3362761,3374414,3385610,3396753,3407969,3419516,..
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,24650400,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,..
"Population, total",SP.POP.TOTL,Vanuatu,VUT,146633,185058,214635,219956,225335,230782,236299,241876,247498,253165,258883,..
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19861959,24481477,27221228,27670659,28116716,28558607,28995745,29427631,29854238,30276045,30693827,..
"Population, total",SP.POP.TOTL,Vietnam,VNM,66016700,77630900,83311200,84218500,85118700,86025000,86932500,87860300,88809200,89759500,90728900,..
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,108639,107700,107423,107091,106707,106267,105784,105275,104737,104170,..
"Population, total",SP.POP.TOTL,West Bank and Gaza,WBG,1978248,2922153,3406334,3494496,3596688,3702218,3811102,3927051,4046901,4169506,4294682,..
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,11961099,17795219,21093973,21701105,22322699,22954226,23591972,24234940,24882792,25533217,26183676,..
"Population, total",SP.POP.TOTL,Zambia,ZMB,8143142,10585220,12381509,12738676,13114579,13507849,13917439,14343526,14786581,15246086,15721343,..
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10484771,12499981,13127942,13297798,13495462,13720997,13973897,14255592,14565482,14898092,15245855,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 06/01/2016,,,,,,,,,,,,,,,
